HouseTitle,Builder,Furnishing,Bathroom,TenantPrefered,Availability,Area,Floor,PropertyFacing,Notes,Rent,NearBy,Link
"5 BHK Flat for Rent in Hebbal, Bangalore",Embassy Lake Terraces,Semi-Furnished,6,Bachelors/Family,Immediately,6300 sqft,12 out of 20,,Nice flat with a good ventilation. The monthly maintenance is Rs 70000/-.,₹4.3 Lac ,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/5-BHK-8331-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730363933353037
"3 BHK Flat for Rent in Jakkur, Bangalore",Sobha HRC Pristine,Semi-Furnished,3,Bachelors/Family,Immediately,1400 sqft,17 out of 20,East Facing Property,"Premium Property located in one of the prime locations of Bengaluru.with good commutation and access to all your daily needs.Equipped with worldclass amenities.Near to International institutes, Tech Parks, Markets, Supermarkets, Malls, Leisures, Hospitals, and more.Just 30 mins drive from the International Airport. The monthly maintenance is Rs 5000/-.","₹67,000","1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/5-BHK-8331-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730363933353037
"2 BHK Flat for Rent in Hebbal, Bangalore",Prestige Misty Waters,Semi-Furnished,2,Bachelors/Family,Immediately,820 sqft,12 out of 23,East Facing Property,"Good ventilation and good interiors, well maintained . The monthly maintenance is Rs 3600/-.","₹41,000","1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/5-BHK-8331-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730363933353037
"4 BHK Flat for Rent in Hebbal, Bangalore", L&T Raintree Boulevard,Unfurnished,4,Bachelors,Immediately,2470 sqft,12 out of 15,,great location with all the amenities,₹1.1 Lac ,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/5-BHK-8331-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730363933353037
"4 BHK Flat for Rent in Hebbal, Bangalore",Brigade Caladium,Furnished,4,Bachelors,Immediately,3400 sqft,9 out of 14,East Facing Property,Close to major it parks collegs international schools malls shopping centre hoispitals. The monthly maintenance is Rs 15000/-.,₹1.8 Lac ,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/5-BHK-8331-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730363933353037
"3 BHK Flat for Rent in Kanakapura Road, Bangalore",Prestige Falcon City,Semi-Furnished,3,Family,Immediately,1200 sqft,2 out of 31,East Facing Property,"3bhk flat available for rent in prestige falcon city 1603 sqft east facing semi furnished 2nd floor rent 57,000 The monthly maintenance is Rs 5000/-.","₹57,000","1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/5-BHK-8331-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730363933353037
"4 BHK Flat for Rent in Hebbal, Bangalore",Brigade Caladium,Semi-Furnished,4,Family,Immediately,4310 sqft,13 out of 18,East Facing Property,At Brigade Caladium the sublime luxury that greets you on arrival prevails throughout the property. The monthly maintenance is Rs 15000/-.,₹1.9 Lac ,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/5-BHK-8331-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730363933353037
"3 BHK Flat for Rent in Sarjapur Road, Bangalore",Sobha Iris,Semi-Furnished,3,Bachelors/Family,Immediately,1334 sqft,3 out of 18,,"3 BHK 24 hours water facility available 3 bhk flat for it is a gated community,very good society all security, lifts, gym, garden Area etc. And near by IT Companies in minimum distance, like Prestige Tech amenities are avaliable like swimming pool, indoor Games, children play Area, badminton court, 24 hrs Park, Wipro co.limited, RMZ Eco World, Cesna business park, Embassy Tech Park, eco space, Accenture etc. And shopping malls are avaliable nearby location with good The monthly maintenance is Rs 6000/-.","₹67,000","1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/5-BHK-8331-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730363933353037
"2 BHK Flat for Rent in Btm Layout, Bangalore",,Semi-Furnished,2,Family,Immediately,1150 sqft,1 out of 3,East Facing Property,east faceing with good Society with car parking The monthly maintenance is Rs 1000/-.,"₹29,998","1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/5-BHK-8331-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730363933353037
"2 BHK Flat for Rent in Kadugodi, Bangalore",Sai Nithya Apartment,Semi-Furnished,2,Bachelors,Immediately,1280 sqft,4 out of 6,,"2 BHK, Multistorey Apartment is available for Rent in Kadugodi, Bangalore for 27,000 The monthly maintenance is Rs 3700/-.","₹27,000","1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/5-BHK-8331-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730363933353037
